Model,MSE,RMSE,MAE,Error Percentage
Linear Regression,99584.7868179384,315.5705734347523,269.28125848278074,26.479307604188595
Random Forest,3140.9038121783506,56.043766934230526,30.98941223789269,3.0472903452084803
k-Nearest Neighbors,147808.0709544984,344.3257598317798,229.8540975991549,22.602305814759866
Artificial Neural Network,41422.11667188065,203.52424099325526,136.8088471587275,13.45286176728863
LSTM,635351.9049682026,797.0896467576295,669.6388404600082,66.19617017387381
